season,horizon,primary_free_source,source_temporal_structure,game_level_panel,book_level_panel,spread_line,side_price,moneyline,total,quote_age_panel,post_equal_kick_rule,rights_class,historical_m1_decision
2020,T-2160,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2020,T-720,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2020,T-360,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2020,T-120,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2020,T-60,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2020,T-30,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2020,LATEST_PREKICK,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2021,T-2160,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2021,T-720,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
2021,T-360,bsr-0 The Odds API cache,bulk one fixed gameday snapshot,NOT_DEMONSTRATED,NOT_DEMONSTRATED,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,SCHEMA_PRESENT,NOT_DEMONSTRATED,REJECT_ROW_IF_EQUAL_OR_POST,LICENSE_REVIEW_REQUIRED,BLOCKED
